date,product_id,product_name,price,units_sold,total_amount
2023-04-02,CL8093,Tie,79.48,8,635.84
2023-11-17,BE9179,Electric Shaver,437.12,18,7868.16
2024-01-05,TO5312,Moisturizer,310.34,49,15206.659999999998
2023-09-28,SP8139,Router,447.41,21,9395.61
2024-05-18,HO8208,Suitcase,36.08,10,360.8
2023-02-25,HO1587,Duffel Bag,240.42,11,2644.62
2024-12-23,TO2900,Resistance Bands,497.65,32,15924.8
2023-02-11,TO8949,Standing Desk,234.3,8,1874.4
2023-06-01,BE2533,Induction Cooktop,109.83,19,2086.77
2023-07-04,HO5469,Gaming Console,285.99,43,12297.57
2024-08-22,HO1067,Moisturizer,267.75,37,9906.75
2023-07-04,TO5033,Standing Desk,386.44,44,17003.36
2023-04-07,CL5657,Tea Set,343.84,44,15128.96
2023-05-05,TO2737,Tea Set,420.12,10,4201.2
2023-01-30,BE8861,Air Conditioner,232.49,18,4184.82
2024-08-31,EL6397,Suitcase,485.19,42,20377.98
2024-09-29,TO3118,Duvet,113.57,4,454.28
2024-10-21,CL1909,Table Runner,374.46,36,13480.56
2024-09-08,TO7534,Mixer Grinder,135.03,16,2160.48
2024-02-13,BE4411,Electric Shaver,89.84,50,4492.0
2024-02-17,CL2975,Marker Set,156.29,28,4376.12
2023-11-14,EL3151,Air Conditioner,185.93,7,1301.51
2024-01-12,SP9021,Sunscreen,228.27,25,5706.75
2024-05-02,CL7931,Resistance Bands,54.21,28,1517.88
2024-01-13,SP8112,Power Bank,319.04,6,1914.24
2023-02-11,SP8594,Volleyball,341.46,42,14341.32
2024-12-03,EL9115,Badminton Racket,268.37,42,11271.54
2024-06-21,BE8671,Table Runner,224.3,31,6953.3
2023-11-04,HO5921,Graphic Card,422.35,34,14359.9
2024-03-13,CL1781,Boots,279.99,3,839.97
2024-06-09,BE7961,Hoodie,212.38,30,6371.4
2024-11-07,EL5151,Marker Set,184.17,38,6998.459999999999
2023-03-25,SP2866,Hoverboard,372.85,30,11185.5
2023-07-03,HO1741,Chess Set,50.81,46,2337.26
2023-11-01,CL8454,Air Conditioner,381.1,29,11051.9
2024-09-30,CL4066,Track Pants,113.42,6,680.52
2024-09-10,CL8107,Gloves,271.84,1,271.84
2024-02-09,BE3813,Gloves,331.34,30,9940.2
2024-12-09,TO8974,Chess Set,158.37,40,6334.8
2024-01-05,EL5958,Gloves,52.94,9,476.46
2023-01-15,HO1260,Tea Set,351.06,13,4563.78
2023-01-28,HO3378,Moisturizer,328.37,28,9194.36
2024-10-03,SP2410,Air Conditioner,157.45,30,4723.5
2023-06-01,TO1357,Volleyball,67.06,10,670.6
2024-12-20,TO8724,Mixer Grinder,19.62,29,568.98
2024-08-22,HO5830,Mascara,289.02,26,7514.519999999999
2023-02-22,CL2682,Necklace,318.9,46,14669.4
2024-03-18,TO5764,Punching Bag,28.14,26,731.64
2024-05-12,SP8993,Tie,123.63,4,494.52
2024-06-24,BE6174,Duffel Bag,281.1,18,5059.8
2024-10-25,TO2915,Gloves,252.45,42,10602.9
2023-12-22,TO1340,Mirror,89.05,47,4185.349999999999
2023-07-16,TO8178,Slippers,123.73,15,1855.95
2024-08-24,EL8675,Punching Bag,74.27,19,1411.13
2024-12-29,TO6902,Hoverboard,400.03,11,4400.33
2024-09-28,HO2412,File Cabinet,336.86,9,3031.74
2023-06-27,HO9063,Alarm Clock,59.44,27,1604.88
2024-05-20,CL4431,Carrom Board,282.85,2,565.7
2024-01-03,CL3598,Duvet,95.61,33,3155.13
2023-02-02,BE8055,Tie,65.84,15,987.6
2023-05-04,SP8968,Suitcase,136.33,22,2999.26
2023-12-30,BE5382,Electric Shaver,449.2,45,20214.0
2024-06-11,SP1826,Mirror,464.05,29,13457.45
2024-04-13,BE2669,Measuring Cups,413.57,3,1240.71
2024-06-03,BE2934,Volleyball,436.73,24,10481.52
2023-06-10,EL8233,Juicer,383.36,32,12267.52
2023-04-12,HO6482,Washing Machine,411.39,8,3291.12
2023-07-26,TO1107,Hair Dryer,130.2,31,4036.2
2023-12-16,CL3805,Hair Dryer,51.76,24,1242.24
2024-02-29,CL3483,Standing Desk,379.07,34,12888.38
2024-03-07,HO8025,Mirror,212.57,27,5739.389999999999
2024-04-14,SP1487,Boots,226.86,50,11343.0
2023-01-11,EL2140,Hair Oil,51.54,21,1082.34
2024-02-16,HO2007,Electric Shaver,202.7,3,608.0999999999999
2024-11-07,EL1947,Smartwatch,489.09,46,22498.14
2024-11-07,SP7869,Necklace,206.98,44,9107.12
